sector_code,sector_name,factor_value,currency_code,factor_unit
334514/US,Fluid meters and counting devices,0.1296886015330359,USD,kgco2e_per_usd
334515/US,Signal testing instruments,0.09358862402623397,USD,kgco2e_per_usd
334516/US,Analytical laboratory instruments,0.1300691092773578,USD,kgco2e_per_usd
334517/US,Irradiation apparatuses,0.1280970539953269,USD,kgco2e_per_usd
33451A/US,"Watches, clocks, and other measuring and controlling devices",0.1152520853322771,USD,kgco2e_per_usd
334300/US,Audio and video equipment,0.101258045280035,USD,kgco2e_per_usd
334610/US,"External hard drives, CDs, other storage media",0.05958509291355334,USD,kgco2e_per_usd
335110/US,Light bulbs,0.1883909966531386,USD,kgco2e_per_usd
335120/US,Light fixtures,0.3103272357502713,USD,kgco2e_per_usd
335210/US,Small electrical appliances,0.2162963924760672,USD,kgco2e_per_usd
335220/US,Major home appliances,0.3168064100037465,USD,kgco2e_per_usd
335311/US,Specialty transformers,0.3370928005030754,USD,kgco2e_per_usd
335312/US,Motors and generators,0.2729621215192941,USD,kgco2e_per_usd
335313/US,Switchgear and switchboards,0.3396669092127156,USD,kgco2e_per_usd
335314/US,Relay and industrial controls,0.2103064958829341,USD,kgco2e_per_usd
335911/US,Storage batteries,0.6711997207899264,USD,kgco2e_per_usd
335912/US,Primary batteries,0.195967382352196,USD,kgco2e_per_usd
335920/US,Communication and energy wire and cable,0.5774092313484936,USD,kgco2e_per_usd
335930/US,Wiring devices,0.2771427852928021,USD,kgco2e_per_usd
335991/US,Carbon and graphite products,0.5252675414604204,USD,kgco2e_per_usd
335999/US,Other miscellaneous electrical equipment and components,0.2296242889487997,USD,kgco2e_per_usd
336111/US,Automobiles,0.3645565009718055,USD,kgco2e_per_usd
336112/US,"Pickup trucks, vans, and SUVs",0.3412125414787051,USD,kgco2e_per_usd
336120/US,Heavy duty trucks,0.3192487966316057,USD,kgco2e_per_usd
336211/US,Vehicle bodies,0.4068473924252921,USD,kgco2e_per_usd
336212/US,Truck trailers,0.4381304102405899,USD,kgco2e_per_usd
336213/US,Motor homes,0.1432738661838002,USD,kgco2e_per_usd
336214/US,Travel trailer and campers,0.322872942262494,USD,kgco2e_per_usd
336310/US,Vehicle engines and engine parts,0.3517874794070694,USD,kgco2e_per_usd
336320/US,Vehicle electrical and electronic equipment,0.3262122585904665,USD,kgco2e_per_usd
336350/US,Transmission and power train parts,0.3479274347865995,USD,kgco2e_per_usd
336360/US,Vehicle seating and interior trim (upholstery),0.3646794937181613,USD,kgco2e_per_usd
336370/US,Vehicle metal stamping,0.6473748015984149,USD,kgco2e_per_usd
336390/US,Other vehicle parts,0.3774572897468168,USD,kgco2e_per_usd
3363A0/US,"Motor vehicle steering, suspension components (except spring), and brake systems",0.4280596770936676,USD,kgco2e_per_usd
336411/US,Aircraft,0.1845409816637458,USD,kgco2e_per_usd
336412/US,Aircraft engines and parts,0.1851051709141941,USD,kgco2e_per_usd
336413/US,Other aircraft parts,0.2036034982105373,USD,kgco2e_per_usd
336414/US,Guided missiles and space vehicles,0.1727320450300678,USD,kgco2e_per_usd
33641A/US,Propulsion units and parts for space vehicles and guided missiles,0.3431744712041196,USD,kgco2e_per_usd
336500/US,Railroad rolling stock,0.5274985665649428,USD,kgco2e_per_usd
336611/US,Ships and ship repair,0.2257645888249323,USD,kgco2e_per_usd
336612/US,Boats,0.3549647629231849,USD,kgco2e_per_usd
336991/US,"Motorcycle, bicycle, and parts",0.3552925381112212,USD,kgco2e_per_usd
336992/US,Military armored vehicles and tanks,0.5216753137817666,USD,kgco2e_per_usd
336999/US,Other transportation equipment,0.3460424274914239,USD,kgco2e_per_usd
337110/US,Wood kitchen cabinets and countertops,0.2721085354910415,USD,kgco2e_per_usd
337121/US,Home furniture - upholstered,0.3552030543939145,USD,kgco2e_per_usd
337122/US,"Home furniture - wood, nonupholstered",0.29830921623541,USD,kgco2e_per_usd
337127/US,Institutional furniture,0.3731811365066942,USD,kgco2e_per_usd
33712N/US,"Home furniture - Cabinets and non-wood, nonupholstered",0.5047539278336971,USD,kgco2e_per_usd
337215/US,Shelving and lockers,0.4395602210630132,USD,kgco2e_per_usd
33721A/US,Office furniture and custom architectural woodwork and millwork,0.3376018706419759,USD,kgco2e_per_usd
337900/US,"Mattresses, blinds and shades",0.416908714151849,USD,kgco2e_per_usd
339112/US,Surgical and medical instruments,0.1768287071664019,USD,kgco2e_per_usd
339113/US,Surgical appliance and supplies,0.1850833337259997,USD,kgco2e_per_usd
339114/US,Dental equipment and supplies,0.2865740039776745,USD,kgco2e_per_usd
339115/US,Ophthalmic goods,0.1884997653363336,USD,kgco2e_per_usd
339116/US,Dental laboratories,0.2140909499124883,USD,kgco2e_per_usd
339910/US,Jewelry and silverware,0.2212250575191908,USD,kgco2e_per_usd
339920/US,Sporting and athletic goods,0.2987621845207945,USD,kgco2e_per_usd
339930/US,"Dolls, toys, and games",0.251281427791692,USD,kgco2e_per_usd
339940/US,Office supplies (not paper),0.3689476981276405,USD,kgco2e_per_usd
339950/US,Signs,0.3362299723882261,USD,kgco2e_per_usd
339990/US,"Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods",0.329822203333247,USD,kgco2e_per_usd
311111/US,Dog and cat food,0.8900293648377897,USD,kgco2e_per_usd
311119/US,Other animal food,1.308506698562204,USD,kgco2e_per_usd
311210/US,Flours and malts,1.634457699876758,USD,kgco2e_per_usd
311221/US,Corn products,2.075395205620771,USD,kgco2e_per_usd
